time,quantity
2004/01,4
2004/02,5
2004/03,4
2004/04,4
2004/05,5
2004/06,4
2004/07,4
2004/08,6
2004/09,7
2004/10,10
2004/11,4
2004/12,4
2005/01,5
2005/02,4
2005/03,4
2005/04,4
2005/05,5
2005/06,4
2005/07,5
2005/08,4
2005/09,4
2005/10,5
2005/11,4
2005/12,4
2006/01,5
2006/02,4
2006/03,4
2006/04,5
2006/05,4
2006/06,4
2006/07,5
2006/08,4
2006/09,4
2006/10,5
2006/11,4
2006/12,5
2007/01,4
2007/02,4
2007/03,4
2007/04,5
2007/05,4
2007/06,4
2007/07,5
2007/08,4
2007/09,6
2007/10,4
2007/11,4
2007/12,5
2008/01,4
2008/02,4
2008/03,5
2008/04,4
2008/05,4
2008/06,5
2008/07,4
2008/08,5
2008/09,4
2008/10,4
2008/11,5
2008/12,4
2009/01,4
2009/02,4
2009/03,5
2009/04,4
2009/05,5
2009/06,4
2009/07,4
2009/08,5
2009/09,4
2009/10,4
2009/11,5
2009/12,4
2010/01,5
2010/02,4
2010/03,4
2010/04,4
2010/05,5
2010/06,4
2010/07,4
2010/08,5
2010/09,4
2010/10,5
2010/11,4
2010/12,4
2011/01,5
2011/02,4
2011/03,4
2011/04,4
2011/05,5
2011/06,4
2011/07,5
2011/08,4
2011/09,4
2011/10,5
2011/11,4
2011/12,4
2012/01,5
2012/02,4
2012/03,4
2012/04,5
2012/05,4
2012/06,4
2012/07,5
2012/08,4
2012/09,5
2012/10,4
2012/11,4
2012/12,5
2013/01,4
2013/02,4
2013/03,5
2013/04,4
2013/05,4
2013/06,5
2013/07,4
2013/08,4
2013/09,5
2013/10,4
2013/11,4
2013/12,5
2014/01,4
2014/02,4
2014/03,283
2014/04,382
2014/05,276
2014/06,185
2014/07,94
2014/08,94
2014/09,70
2014/10,65
2014/11,73
2014/12,54
2015/01,48
2015/02,45
2015/03,51
2015/04,41
2015/05,48
2015/06,31
2015/07,28
2015/08,35
2015/09,32
2015/10,35
2015/11,45
2015/12,33
2016/01,45
2016/02,36
2016/03,36
2016/04,36
2016/05,18
